,workflowId,time0,coldState_groupId,coldState_fixedStartTime
0,wflow_sbm_ahr_20210729,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_sbm_ahr_20210729,04/06/2022 00:00:00,,
2,wflow_sbm_ahr_20210729,09/06/2022 00:00:00,,
3,wflow_sbm_ahr_20210729,14/06/2022 00:00:00,,
4,wflow_sbm_ahr_20210729,19/06/2022 00:00:00,,
5,wflow_sbm_ahr_20210729,24/06/2022 00:00:00,,
6,wflow_sbm_ahr_20210729,29/06/2022 00:00:00,,
7,wflow_sbm_ahr_20210729,04/07/2022 00:00:00,,
8,wflow_sbm_ahr_20210729,09/07/2022 00:00:00,,
9,wflow_sbm_ahr_20210729,14/07/2022 00:00:00,,
10,wflow_sbm_ahr_20210729,19/07/2022 00:00:00,,
11,wflow_sbm_ahr_20210729,24/07/2022 00:00:00,,
12,wflow_sbm_ahr_20210729,29/07/2022 00:00:00,,
13,wflow_sbm_ahr_20210729,03/08/2022 00:00:00,,
14,wflow_sbm_ahr_20210729,08/08/2022 00:00:00,,
15,wflow_sbm_ahr_20210729,13/08/2022 00:00:00,,
16,wflow_sbm_ahr_20210729,18/08/2022 00:00:00,,
17,wflow_sbm_ahr_20210729,23/08/2022 00:00:00,,
18,wflow_sbm_ahr_20210729,28/08/2022 00:00:00,,
19,wflow_sbm_ahr_20210729,02/09/2022 00:00:00,,
20,wflow_sbm_ahr_20210729,07/09/2022 00:00:00,,
21,wflow_sbm_ahr_20210729,12/09/2022 00:00:00,,
22,wflow_sbm_ahr_20210729,17/09/2022 00:00:00,,
0,wflow_sbm_arno_20210519,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_sbm_arno_20210519,04/06/2022 00:00:00,,
2,wflow_sbm_arno_20210519,09/06/2022 00:00:00,,
3,wflow_sbm_arno_20210519,14/06/2022 00:00:00,,
4,wflow_sbm_arno_20210519,19/06/2022 00:00:00,,
5,wflow_sbm_arno_20210519,24/06/2022 00:00:00,,
6,wflow_sbm_arno_20210519,29/06/2022 00:00:00,,
7,wflow_sbm_arno_20210519,04/07/2022 00:00:00,,
8,wflow_sbm_arno_20210519,09/07/2022 00:00:00,,
9,wflow_sbm_arno_20210519,14/07/2022 00:00:00,,
10,wflow_sbm_arno_20210519,19/07/2022 00:00:00,,
11,wflow_sbm_arno_20210519,24/07/2022 00:00:00,,
12,wflow_sbm_arno_20210519,29/07/2022 00:00:00,,
13,wflow_sbm_arno_20210519,03/08/2022 00:00:00,,
14,wflow_sbm_arno_20210519,08/08/2022 00:00:00,,
15,wflow_sbm_arno_20210519,13/08/2022 00:00:00,,
16,wflow_sbm_arno_20210519,18/08/2022 00:00:00,,
17,wflow_sbm_arno_20210519,23/08/2022 00:00:00,,
18,wflow_sbm_arno_20210519,28/08/2022 00:00:00,,
19,wflow_sbm_arno_20210519,02/09/2022 00:00:00,,
20,wflow_sbm_arno_20210519,07/09/2022 00:00:00,,
21,wflow_sbm_arno_20210519,12/09/2022 00:00:00,,
22,wflow_sbm_arno_20210519,17/09/2022 00:00:00,,
0,wflow_sbm_domrepublic_20210422,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_sbm_domrepublic_20210422,04/06/2022 00:00:00,,
2,wflow_sbm_domrepublic_20210422,09/06/2022 00:00:00,,
3,wflow_sbm_domrepublic_20210422,14/06/2022 00:00:00,,
4,wflow_sbm_domrepublic_20210422,19/06/2022 00:00:00,,
5,wflow_sbm_domrepublic_20210422,24/06/2022 00:00:00,,
6,wflow_sbm_domrepublic_20210422,29/06/2022 00:00:00,,
7,wflow_sbm_domrepublic_20210422,04/07/2022 00:00:00,,
8,wflow_sbm_domrepublic_20210422,09/07/2022 00:00:00,,
9,wflow_sbm_domrepublic_20210422,14/07/2022 00:00:00,,
10,wflow_sbm_domrepublic_20210422,19/07/2022 00:00:00,,
11,wflow_sbm_domrepublic_20210422,24/07/2022 00:00:00,,
12,wflow_sbm_domrepublic_20210422,29/07/2022 00:00:00,,
13,wflow_sbm_domrepublic_20210422,03/08/2022 00:00:00,,
14,wflow_sbm_domrepublic_20210422,08/08/2022 00:00:00,,
15,wflow_sbm_domrepublic_20210422,13/08/2022 00:00:00,,
16,wflow_sbm_domrepublic_20210422,18/08/2022 00:00:00,,
17,wflow_sbm_domrepublic_20210422,23/08/2022 00:00:00,,
18,wflow_sbm_domrepublic_20210422,28/08/2022 00:00:00,,
19,wflow_sbm_domrepublic_20210422,02/09/2022 00:00:00,,
20,wflow_sbm_domrepublic_20210422,07/09/2022 00:00:00,,
21,wflow_sbm_domrepublic_20210422,12/09/2022 00:00:00,,
22,wflow_sbm_domrepublic_20210422,17/09/2022 00:00:00,,
0,wflow_sbm_ebro_20200428,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_sbm_ebro_20200428,04/06/2022 00:00:00,,
2,wflow_sbm_ebro_20200428,09/06/2022 00:00:00,,
3,wflow_sbm_ebro_20200428,14/06/2022 00:00:00,,
4,wflow_sbm_ebro_20200428,19/06/2022 00:00:00,,
5,wflow_sbm_ebro_20200428,24/06/2022 00:00:00,,
6,wflow_sbm_ebro_20200428,29/06/2022 00:00:00,,
7,wflow_sbm_ebro_20200428,04/07/2022 00:00:00,,
8,wflow_sbm_ebro_20200428,09/07/2022 00:00:00,,
9,wflow_sbm_ebro_20200428,14/07/2022 00:00:00,,
10,wflow_sbm_ebro_20200428,19/07/2022 00:00:00,,
11,wflow_sbm_ebro_20200428,24/07/2022 00:00:00,,
12,wflow_sbm_ebro_20200428,29/07/2022 00:00:00,,
13,wflow_sbm_ebro_20200428,03/08/2022 00:00:00,,
14,wflow_sbm_ebro_20200428,08/08/2022 00:00:00,,
15,wflow_sbm_ebro_20200428,13/08/2022 00:00:00,,
16,wflow_sbm_ebro_20200428,18/08/2022 00:00:00,,
17,wflow_sbm_ebro_20200428,23/08/2022 00:00:00,,
18,wflow_sbm_ebro_20200428,28/08/2022 00:00:00,,
19,wflow_sbm_ebro_20200428,02/09/2022 00:00:00,,
20,wflow_sbm_ebro_20200428,07/09/2022 00:00:00,,
21,wflow_sbm_ebro_20200428,12/09/2022 00:00:00,,
22,wflow_sbm_ebro_20200428,17/09/2022 00:00:00,,
0,wflow_sbm_geul_20210507,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_sbm_geul_20210507,04/06/2022 00:00:00,,
2,wflow_sbm_geul_20210507,09/06/2022 00:00:00,,
3,wflow_sbm_geul_20210507,14/06/2022 00:00:00,,
4,wflow_sbm_geul_20210507,19/06/2022 00:00:00,,
5,wflow_sbm_geul_20210507,24/06/2022 00:00:00,,
6,wflow_sbm_geul_20210507,29/06/2022 00:00:00,,
7,wflow_sbm_geul_20210507,04/07/2022 00:00:00,,
8,wflow_sbm_geul_20210507,09/07/2022 00:00:00,,
9,wflow_sbm_geul_20210507,14/07/2022 00:00:00,,
10,wflow_sbm_geul_20210507,19/07/2022 00:00:00,,
11,wflow_sbm_geul_20210507,24/07/2022 00:00:00,,
12,wflow_sbm_geul_20210507,29/07/2022 00:00:00,,
13,wflow_sbm_geul_20210507,03/08/2022 00:00:00,,
14,wflow_sbm_geul_20210507,08/08/2022 00:00:00,,
15,wflow_sbm_geul_20210507,13/08/2022 00:00:00,,
16,wflow_sbm_geul_20210507,18/08/2022 00:00:00,,
17,wflow_sbm_geul_20210507,23/08/2022 00:00:00,,
18,wflow_sbm_geul_20210507,28/08/2022 00:00:00,,
19,wflow_sbm_geul_20210507,02/09/2022 00:00:00,,
20,wflow_sbm_geul_20210507,07/09/2022 00:00:00,,
21,wflow_sbm_geul_20210507,12/09/2022 00:00:00,,
22,wflow_sbm_geul_20210507,17/09/2022 00:00:00,,
0,wflow_sbm_lasvacas_20210901,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_sbm_lasvacas_20210901,04/06/2022 00:00:00,,
2,wflow_sbm_lasvacas_20210901,09/06/2022 00:00:00,,
3,wflow_sbm_lasvacas_20210901,14/06/2022 00:00:00,,
4,wflow_sbm_lasvacas_20210901,19/06/2022 00:00:00,,
5,wflow_sbm_lasvacas_20210901,24/06/2022 00:00:00,,
6,wflow_sbm_lasvacas_20210901,29/06/2022 00:00:00,,
7,wflow_sbm_lasvacas_20210901,04/07/2022 00:00:00,,
8,wflow_sbm_lasvacas_20210901,09/07/2022 00:00:00,,
9,wflow_sbm_lasvacas_20210901,14/07/2022 00:00:00,,
10,wflow_sbm_lasvacas_20210901,19/07/2022 00:00:00,,
11,wflow_sbm_lasvacas_20210901,24/07/2022 00:00:00,,
12,wflow_sbm_lasvacas_20210901,29/07/2022 00:00:00,,
13,wflow_sbm_lasvacas_20210901,03/08/2022 00:00:00,,
14,wflow_sbm_lasvacas_20210901,08/08/2022 00:00:00,,
15,wflow_sbm_lasvacas_20210901,13/08/2022 00:00:00,,
16,wflow_sbm_lasvacas_20210901,18/08/2022 00:00:00,,
17,wflow_sbm_lasvacas_20210901,23/08/2022 00:00:00,,
18,wflow_sbm_lasvacas_20210901,28/08/2022 00:00:00,,
19,wflow_sbm_lasvacas_20210901,02/09/2022 00:00:00,,
